,university_name,score_cwur,score_shanghai,score_times,mean_score
933,University of Virginia,0.8891185226355377,-0.755960448989152,0.031676961620475966,0.05494501175562053
240,Johannes Gutenberg University of Mainz,0.05295163270336235,,,0.05295163270336235
776,University of Montpellier,0.05122846549072432,,,0.05122846549072432
417,Paul Sabatier University  Toulouse III,0.05122846549072432,,,0.05122846549072432
849,University of Rochester,0.6129809768104346,-0.5986261957220728,0.1301413886287393,0.048165389905700386
964,Uppsala University,0.5276841997848962,-0.4371056652062024,,0.0452892672893469
668,University of Dundee,0.02710412451380413,,,0.02710412451380413
21,Autonomous University of Barcelona,0.02624254090748634,,,0.02624254090748634
967,VU University Amsterdam,0.4742660161931442,-0.7866598154802893,0.38700511125899406,0.02487043732394965
973,Virginia Commonwealth University,0.02451937369484831,,,0.02451937369484831
563,Tulane University,0.021073039269574698,,,0.021073039269574698
669,University of Dsseldorf,0.015903537631663054,,,0.015903537631663054
294,London School of Hygiene  Tropical Medicine,0.009872452387433618,,,0.009872452387433618
148,Florida State University,0.009010868781113379,,,0.009010868781113379
551,Tokyo Institute of Technology,0.7112015079307522,-0.75851872953008,0.06164439592733846,0.004775724776003544
161,Georgetown University,0.5854103014082409,,-0.5805149106482965,0.0024476953799721923
914,University of Tsukuba,0.0003950327179281213,,,0.0003950327179281213
292,Lomonosov Moscow State University,0.8863901745488623,,-0.8887513778046017,-0.001180601627869704
447,Rensselaer Polytechnic Institute,-0.0013281344947086852,,,-0.0013281344947086852
681,University of Florence,-0.0021897181010277007,,,-0.0021897181010277007
544,Thomas Jefferson University,-0.003912885313664507,,,-0.003912885313664507
976,Vrije Universiteit Brussel,-0.004774468919983523,,,-0.004774468919983523
116,Drexel University,-0.007359219738939345,,,-0.007359219738939345
285,Lehigh University,-0.008220803345257136,,,-0.008220803345257136
296,Louisiana State University  Baton Rouge,-0.010805554164212958,,,-0.010805554164212958
723,University of Kentucky,-0.011667137770531973,,,-0.011667137770531973
407,Oregon State University,-0.014251888589486571,,,-0.014251888589486571
657,University of Copenhagen,0.4268789178456216,-0.10638976255167631,-0.3664618084564181,-0.015324217720824282
517,Sungkyunkwan University,0.13566365890994375,,-0.1695329544398899,-0.016934647764973068
895,University of Texas Health Science Center at Houston,-0.01769822301476141,,,-0.01769822301476141
95,Colorado State University  Fort Collins,-0.01769822301476141,,,-0.01769822301476141
59,Case Western Reserve University,0.4337715866961713,-0.651390731878715,0.16153584361688214,-0.018694433855220526
974,Virginia Polytechnic Institute and State University,-0.019421390227398215,,,-0.019421390227398215
396,Norwegian University of Science and Technology,-0.021144557440036245,,,-0.021144557440036245
402,Okayama University,-0.021144557440036245,,,-0.021144557440036245
560,Trinity College Dublin,0.19683609495856325,,-0.24231100918512868,-0.02273745711328272
106,Dalian University of Technology,-0.022867724652673053,,,-0.022867724652673053
332,Moscow Institute of Physics and Technology,-0.02631405907794789,,,-0.02631405907794789
575,University at Buffalo The State University of New York,-0.028037226290584697,,,-0.028037226290584697
94,Colorado School of Mines,-0.196046029522707,,0.13870351271641518,-0.02867125840314591
904,University of Texas at San Antonio,-0.030621977109539292,,,-0.030621977109539292
761,University of Miami,0.4570343440667737,,-0.5205800420345706,-0.03177284898389848
784,University of Naples Federico II,-0.032345144322177326,,,-0.032345144322177326
734,University of Lisbon,-0.03320672792849511,,,-0.03320672792849511
939,University of Waterloo,-0.0418225639916816,,,-0.0418225639916816
968,Vanderbilt University,0.6965545866233376,-0.18174275302992282,-0.6404497792620225,-0.04187931522286925
843,University of Reading,-0.04440731481063742,,,-0.04440731481063742
629,University of California Irvine,0.6801844981032836,-0.17127705990794442,-0.6532929653935351,-0.048128509066065285
808,University of Oklahoma  Norman Campus,-0.05043840005486808,,,-0.05043840005486808
920,University of Ulm,-0.05129998366118587,,,-0.05129998366118587
537,Tel Aviv University,0.6483059046694959,,-0.7517573924017993,-0.0517257438661517
632,University of California Riverside,0.10809298350774996,,-0.21234357487826558,-0.05212529568525781
439,Queens University,-0.05474631808645948,,,-0.05474631808645948
191,Hiroshima University,-0.05991581972437113,,,-0.05991581972437113
746,University of Manchester,0.5901490112429923,-0.09034236643130945,-0.6832603997003982,-0.061151251629571766
105,Dalhousie University,-0.06163898693700916,,,-0.06163898693700916
534,Technion  Israel Institute of Technology,0.4591883030825706,-0.5832765124765041,,-0.06204410469696678
319,Medical University of Vienna,-0.06250057054332694,,,-0.06250057054332694
516,Sun Yatsen University,-0.06336215414964597,,,-0.06336215414964597
566,Ume University,-0.07111640660651343,,,-0.07111640660651343
45,Brandeis University,0.016765121237980844,,-0.16097083035221463,-0.07210285455711689
67,Charles University in Prague,-0.07370115742546925,,,-0.07370115742546925
422,PierreandMarieCurie University,0.8499164685480427,,-1.0000589909443784,-0.07507126119816787
87,City College of New York,-0.07542432463810606,,,-0.07542432463810606
293,London School of Economics,-0.07628590824442508,,,-0.07628590824442508
735,University of Liverpool,0.15289533103631672,,-0.3065269398426922,-0.07681580440318773
604,University of Bergen,-0.07887065906337967,,,-0.07887065906337967
179,Hannover Medical School,-0.07973224266969992,,,-0.07973224266969992
42,Boston University,0.7689276095540981,-0.5717642500423274,-0.4392398632016569,-0.08069216789662875
923,University of Utah,1.0566965340644998,-0.6799097456361073,-0.6190444690428346,-0.08075256020481403
269,Korea Advanced Institute of Science and Technology KAIST,0.46737334734259695,,-0.6318876551743475,-0.08225715391587529
667,University of DuisburgEssen,-0.08317857709497352,,,-0.08317857709497352
81,Chulalongkorn University,-0.08576332791392935,,,-0.08576332791392935
316,Medical College of Wisconsin,-0.08748649512656616,,,-0.08748649512656616
924,University of Valencia,-0.08920966233920297,,,-0.08920966233920297
